Age,state,smoothing,residuals,variance,ac1,standard_deviation,Record,Period,tsid
500,2,3,-1,,,,construction_activity_BMIII,BMIII,0
501,3,3,0,,,,construction_activity_BMIII,BMIII,0
502,6,3,3,,,,construction_activity_BMIII,BMIII,0
503,5,3,2,,,,construction_activity_BMIII,BMIII,0
504,5,3,2,,,,construction_activity_BMIII,BMIII,0
505,5,3,2,,,,construction_activity_BMIII,BMIII,0
506,6,3,3,,,,construction_activity_BMIII,BMIII,0
507,2,3,-1,,,,construction_activity_BMIII,BMIII,0
508,3,3,0,,,,construction_activity_BMIII,BMIII,0
509,3,4,-1,,,,construction_activity_BMIII,BMIII,0
510,5,4,1,,,,construction_activity_BMIII,BMIII,0
511,3,4,-1,,,,construction_activity_BMIII,BMIII,0
512,2,4,-2,,,,construction_activity_BMIII,BMIII,0
513,3,4,-1,,,,construction_activity_BMIII,BMIII,0
514,4,4,0,,,,construction_activity_BMIII,BMIII,0
515,4,4,0,,,,construction_activity_BMIII,BMIII,0
516,1,4,-3,,,,construction_activity_BMIII,BMIII,0
517,4,4,0,,,,construction_activity_BMIII,BMIII,0
518,4,4,0,,,,construction_activity_BMIII,BMIII,0
519,5,4,1,,,,construction_activity_BMIII,BMIII,0
520,4,4,0,,,,construction_activity_BMIII,BMIII,0
521,8,4,4,,,,construction_activity_BMIII,BMIII,0
522,4,4,0,,,,construction_activity_BMIII,BMIII,0
523,3,5,-2,,,,construction_activity_BMIII,BMIII,0
524,3,5,-2,,,,construction_activity_BMIII,BMIII,0
525,7,5,2,,,,construction_activity_BMIII,BMIII,0
526,2,5,-3,,,,construction_activity_BMIII,BMIII,0
527,6,5,1,,,,construction_activity_BMIII,BMIII,0
528,5,5,0,,,,construction_activity_BMIII,BMIII,0
529,3,5,-2,,,,construction_activity_BMIII,BMIII,0
530,6,6,0,,,,construction_activity_BMIII,BMIII,0
531,8,6,2,,,,construction_activity_BMIII,BMIII,0
532,11,6,5,,,,construction_activity_BMIII,BMIII,0
533,2,6,-4,,,,construction_activity_BMIII,BMIII,0
534,8,6,2,,,,construction_activity_BMIII,BMIII,0
535,3,6,-3,,,,construction_activity_BMIII,BMIII,0
536,10,6,4,,,,construction_activity_BMIII,BMIII,0
537,18,7,11,,,,construction_activity_BMIII,BMIII,0
538,4,7,-3,,,,construction_activity_BMIII,BMIII,0
539,7,7,0,,,,construction_activity_BMIII,BMIII,0
541,9,7,2,,,,construction_activity_BMIII,BMIII,0
542,7,7,0,,,,construction_activity_BMIII,BMIII,0
543,10,7,3,,,,construction_activity_BMIII,BMIII,0
544,8,7,1,,,,construction_activity_BMIII,BMIII,0
545,2,7,-5,,,,construction_activity_BMIII,BMIII,0
546,9,7,2,,,,construction_activity_BMIII,BMIII,0
547,11,8,3,,,,construction_activity_BMIII,BMIII,0
548,7,8,-1,,,,construction_activity_BMIII,BMIII,0
549,9,8,1,,,,construction_activity_BMIII,BMIII,0
550,8,8,0,,,,construction_activity_BMIII,BMIII,0
551,11,8,3,,,,construction_activity_BMIII,BMIII,0
552,10,8,2,,,,construction_activity_BMIII,BMIII,0
553,4,8,-4,,,,construction_activity_BMIII,BMIII,0
554,4,8,-4,,,,construction_activity_BMIII,BMIII,0
555,10,8,2,,,,construction_activity_BMIII,BMIII,0
556,11,8,3,,,,construction_activity_BMIII,BMIII,0
557,7,9,-2,,,,construction_activity_BMIII,BMIII,0
558,5,9,-4,,,,construction_activity_BMIII,BMIII,0
559,10,9,1,,,,construction_activity_BMIII,BMIII,0
560,9,9,0,7.169209039548024,-0.05080127100028677,2.6775378689288454,construction_activity_BMIII,BMIII,0
561,6,9,-3,7.325141242937854,-0.048667207291001775,2.70649981395489,construction_activity_BMIII,BMIII,0
562,16,9,7,8.074576271186443,-0.09335814440970859,2.841579889988392,construction_activity_BMIII,BMIII,0
563,6,9,-3,8.145762711864409,-0.14505581249449237,2.854078259590022,construction_activity_BMIII,BMIII,0
564,12,10,2,8.145762711864409,-0.16191185863317015,2.854078259590022,construction_activity_BMIII,BMIII,0
565,7,10,-3,8.274293785310736,-0.17865075208909642,2.8765072197564074,construction_activity_BMIII,BMIII,0
566,13,10,3,8.351412429378533,-0.20631203690759126,2.8898810406967503,construction_activity_BMIII,BMIII,0
567,15,10,5,8.605649717514126,-0.16787926073296913,2.933538770412644,construction_activity_BMIII,BMIII,0
568,6,10,-4,8.884463276836161,-0.20143254761736448,2.9806816798907194,construction_activity_BMIII,BMIII,0
569,3,10,-7,9.75254237288136,-0.13405893216403575,3.1229060781396165,construction_activity_BMIII,BMIII,0
570,17,11,6,10.308192090395483,-0.19373214886675075,3.2106373339876746,construction_activity_BMIII,BMIII,0
571,18,11,7,11.067514124293789,-0.11775276205708597,3.326787357841464,construction_activity_BMIII,BMIII,0
572,9,11,-2,11.128813559322039,-0.14247045963250218,3.335987643760396,construction_activity_BMIII,BMIII,0
573,11,11,0,11.039548022598874,-0.14625259992449727,3.322581529864824,construction_activity_BMIII,BMIII,0
574,21,11,10,12.559039548022604,-0.14277795151491565,3.543873523141395,construction_activity_BMIII,BMIII,0
575,16,11,5,12.888135593220342,-0.07585558260610614,3.5900049572696053,construction_activity_BMIII,BMIII,0
576,8,11,-3,13.099152542372885,-0.09863520806386879,3.6192751404629195,construction_activity_BMIII,BMIII,0
577,12,11,1,12.884463276836161,-0.10340136180447147,3.5894934568593606,construction_activity_BMIII,BMIII,0
578,2,12,-10,14.760169491525426,-0.10196572362819255,3.8418966008373294,construction_activity_BMIII,BMIII,0
579,10,12,-2,14.857344632768363,-0.06524008369948901,3.8545226206066507,construction_activity_BMIII,BMIII,0
580,8,12,-4,15.175141242937856,-0.05209070960490108,3.895528365053688,construction_activity_BMIII,BMIII,0
581,19,12,7,15.912711864406782,-0.08105092962363061,3.989074061033059,construction_activity_BMIII,BMIII,0
582,20,12,8,16.66073446327684,-0.023150792479167313,4.081756296409284,construction_activity_BMIII,BMIII,0
583,10,12,-2,16.762429378531074,-0.04303208002759572,4.094194594609674,construction_activity_BMIII,BMIII,0
584,14,12,2,16.692372881355933,-0.0534332742211626,4.085630047049773,construction_activity_BMIII,BMIII,0
585,16,13,3,16.676836158192092,-0.046275247613580865,4.083728217963592,construction_activity_BMIII,BMIII,0
586,11,13,-2,16.75819209039548,-0.047579713716598165,4.093677086727222,construction_activity_BMIII,BMIII,0
587,22,13,9,17.70734463276836,-0.06657785948893,4.20800958087887,construction_activity_BMIII,BMIII,0
588,3,13,-10,19.637005649717512,-0.14154171087208112,4.431366115513083,construction_activity_BMIII,BMIII,0
589,10,13,-3,19.84632768361582,-0.1026157331513286,4.454921737092114,construction_activity_BMIII,BMIII,0
590,10,13,-3,19.948870056497174,-0.09214902203258853,4.466415795299087,construction_activity_BMIII,BMIII,0
591,5,14,-9,21.45649717514124,-0.06029243023796105,4.632115842154775,construction_activity_BMIII,BMIII,0
592,14,14,0,21.41242937853107,-0.06236029120710381,4.627356629711079,construction_activity_BMIII,BMIII,0
593,16,14,2,21.087853107344625,-0.04730196479295804,4.592151250486489,construction_activity_BMIII,BMIII,0
594,17,14,3,20.888135593220333,-0.03814618097714293,4.570353989924668,construction_activity_BMIII,BMIII,0
595,25,14,11,22.726271186440673,-0.01050393302214208,4.767207902582042,construction_activity_BMIII,BMIII,0
596,12,15,-3,22.726271186440673,-0.029129187648510028,4.767207902582042,construction_activity_BMIII,BMIII,0
597,17,15,2,22.559039548022593,-0.06350578153174907,4.749635727929311,construction_activity_BMIII,BMIII,0
598,23,15,8,21.642937853107338,-0.02617940039325877,4.652197099554933,construction_activity_BMIII,BMIII,0
599,8,15,-7,22.379661016949147,-0.07012213799967315,4.7307146412512715,construction_activity_BMIII,BMIII,0
600,18,16,2,22.41920903954802,-0.077079107505071,4.734892716793911,construction_activity_BMIII,BMIII,0
601,8,16,-8,23.554802259887,-0.08453901718097567,4.853328987394838,construction_activity_BMIII,BMIII,0
