Age,Proxy,X_axis_label,Y_axis_label,Record,Transition_start,Transition_end,tsid_new
-8.00274,13.708040510379378,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.00958,8.240687181214518,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.01643,13.707551234335645,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.02329,13.313250765424453,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.03015,12.644615869248993,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.03701,16.526614968938265,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.04387,9.804242220577333,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.05074,12.322170729648098,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.05762,10.738607944892532,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.0645,10.701450449620724,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.07138,13.333549423415954,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.07826,11.648718614756149,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.08514,13.335706586871977,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.09202,11.827111533096272,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.0989,8.928832642462893,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.10578,9.816388666235946,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.11266,9.262078150675356,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.11955,9.322840821472434,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
-8.12645,12.158058308393372,Time (kyr BP),Mo [ppm],MS21-S1,-10.5,-9.7,1
