fpr,tpr,thresholds,auc,ews
0.0,0.0,inf,0.944375,Variance
0.0,0.025,0.9875706214689265,0.944375,Variance
0.0,0.875,0.9384615384615386,0.944375,Variance
0.175,0.875,0.9280070237050043,0.944375,Variance
0.175,0.9,0.927536231884058,0.944375,Variance
0.25,0.9,0.9217758985200846,0.944375,Variance
0.25,0.925,0.9209486166007905,0.944375,Variance
0.5,0.925,0.9061166429587483,0.944375,Variance
0.5,0.95,0.9047619047619049,0.944375,Variance
0.6,0.95,0.8952380952380954,0.944375,Variance
0.6,0.975,0.8947368421052632,0.944375,Variance
0.7,0.975,0.8853410740203194,0.944375,Variance
0.7,1.0,0.8823529411764707,0.944375,Variance
1.0,1.0,0.6601307189542485,0.944375,Variance
0.0,0.0,inf,0.9996875,Lag-1 AC
0.0,0.025,0.8808853118712274,0.9996875,Lag-1 AC
0.0,0.975,-0.15789473684210525,0.9996875,Lag-1 AC
0.025,1.0,-0.33333333333333337,0.9996875,Lag-1 AC
1.0,1.0,-0.8225017470300487,0.9996875,Lag-1 AC
