fpr,tpr,thresholds,auc,ews
0.0,0.0,inf,0.989975,SDML
0.0,0.005,0.81760263,0.989975,SDML
0.0,0.845,0.59439605,0.989975,SDML
0.02,0.845,0.56934476,0.989975,SDML
0.02,0.94,0.55131364,0.989975,SDML
0.025,0.94,0.55087805,0.989975,SDML
0.025,0.95,0.5494456,0.989975,SDML
0.035,0.95,0.5469433,0.989975,SDML
0.035,0.96,0.54647,0.989975,SDML
0.04,0.96,0.5452451,0.989975,SDML
0.04,0.975,0.5402166,0.989975,SDML
0.065,0.975,0.53244674,0.989975,SDML
0.065,0.98,0.5313861,0.989975,SDML
0.17,0.98,0.511957,0.989975,SDML
0.17,0.985,0.5097022,0.989975,SDML
0.22,0.985,0.50325114,0.989975,SDML
0.22,0.99,0.5027902,0.989975,SDML
0.45,0.99,0.48404637,0.989975,SDML
0.45,0.995,0.48342204,0.989975,SDML
0.48,0.995,0.48000672,0.989975,SDML
0.48,1.0,0.47959363,0.989975,SDML
1.0,1.0,0.100855745,0.989975,SDML
