fpr,tpr,thresholds,auc,ews
0.0,0.0,inf,0.7624999999999998,Variance
0.0,0.025,-0.4431601391538547,0.7624999999999998,Variance
0.0,0.05,-0.4466308884913536,0.7624999999999998,Variance
0.025,0.05,-0.4525490196078433,0.7624999999999998,Variance
0.025,0.15,-0.5131457988600846,0.7624999999999998,Variance
0.05,0.15,-0.5164983164983166,0.7624999999999998,Variance
0.05,0.225,-0.5611248966087676,0.7624999999999998,Variance
0.075,0.225,-0.5768556399766218,0.7624999999999998,Variance
0.075,0.35,-0.6277062304211626,0.7624999999999998,Variance
0.1,0.35,-0.6398809523809523,0.7624999999999998,Variance
0.1,0.525,-0.6702250130821561,0.7624999999999998,Variance
0.125,0.525,-0.681299385425812,0.7624999999999998,Variance
0.125,0.7,-0.7165547803957703,0.7624999999999998,Variance
0.2,0.7,-0.7487654320987654,0.7624999999999998,Variance
0.2,0.725,-0.75139146567718,0.7624999999999998,Variance
0.25,0.725,-0.7812734082397004,0.7624999999999998,Variance
0.25,0.8,-0.8037453183520599,0.7624999999999998,Variance
0.4,0.8,-0.8206739006282125,0.7624999999999998,Variance
0.4,0.825,-0.8234567901234568,0.7624999999999998,Variance
0.55,0.825,-0.8536393184280507,0.7624999999999998,Variance
0.55,0.85,-0.8626110731373888,0.7624999999999998,Variance
0.775,0.85,-0.8975559959166518,0.7624999999999998,Variance
0.775,0.875,-0.8996078431372551,0.7624999999999998,Variance
0.825,0.875,-0.9017233856893543,0.7624999999999998,Variance
0.825,0.9,-0.9033485540334856,0.7624999999999998,Variance
0.875,0.9,-0.9089447236180905,0.7624999999999998,Variance
0.875,0.925,-0.9124579124579126,0.7624999999999998,Variance
0.925,0.925,-0.9156238498343764,0.7624999999999998,Variance
0.925,0.95,-0.9157155399473221,0.7624999999999998,Variance
1.0,0.95,-0.9205087440381557,0.7624999999999998,Variance
1.0,1.0,-0.9265873015873015,0.7624999999999998,Variance
0.0,0.0,inf,0.914375,Lag-1 AC
0.0,0.025,0.9228336495888678,0.914375,Lag-1 AC
0.0,0.725,0.8082869511440941,0.914375,Lag-1 AC
0.075,0.725,0.7998712998712998,0.914375,Lag-1 AC
0.075,0.75,0.7961926091825307,0.914375,Lag-1 AC
0.125,0.75,0.7893217893217894,0.914375,Lag-1 AC
0.125,0.775,0.7887640449438202,0.914375,Lag-1 AC
0.15,0.775,0.7733482642777154,0.914375,Lag-1 AC
0.15,0.8,0.7729138166894663,0.914375,Lag-1 AC
0.2,0.8,0.7662921348314606,0.914375,Lag-1 AC
0.2,0.825,0.7549382716049382,0.914375,Lag-1 AC
0.275,0.825,0.7432098765432098,0.914375,Lag-1 AC
0.275,0.85,0.7306903622693096,0.914375,Lag-1 AC
0.3,0.85,0.7211209842788789,0.914375,Lag-1 AC
0.3,0.875,0.7123287671232877,0.914375,Lag-1 AC
0.325,0.875,0.7004174120453189,0.914375,Lag-1 AC
0.325,0.9,0.6953467954345917,0.914375,Lag-1 AC
0.35,0.9,0.6940639269406392,0.914375,Lag-1 AC
0.35,0.925,0.689484126984127,0.914375,Lag-1 AC
0.425,0.925,0.6390365968095089,0.914375,Lag-1 AC
0.425,0.95,0.6376388077147865,0.914375,Lag-1 AC
0.5,0.95,0.5861371575657289,0.914375,Lag-1 AC
0.5,0.975,0.5851851851851853,0.914375,Lag-1 AC
0.7,0.975,0.5205955334987593,0.914375,Lag-1 AC
0.7,1.0,0.5168627450980393,0.914375,Lag-1 AC
1.0,1.0,0.4023529411764707,0.914375,Lag-1 AC
