fpr,tpr,thresholds,auc,ews
0.0,0.0,inf,0.76546875,Variance
0.0,0.0125,0.975983436853002,0.76546875,Variance
0.0,0.475,0.8571428571428572,0.76546875,Variance
0.0125,0.475,0.8293040293040291,0.76546875,Variance
0.0125,0.4875,0.8245614035087718,0.76546875,Variance
0.05,0.4875,0.8107606679035252,0.76546875,Variance
0.05,0.5,0.803921568627451,0.76546875,Variance
0.2,0.5,0.7052943354313218,0.76546875,Variance
0.2,0.5125,0.7035294117647061,0.76546875,Variance
0.2125,0.5125,0.689358372456964,0.76546875,Variance
0.2125,0.525,0.6802721088435373,0.76546875,Variance
0.225,0.525,0.6720496894409939,0.76546875,Variance
0.225,0.5375,0.6577243293246994,0.76546875,Variance
0.2375,0.5375,0.6540825285338016,0.76546875,Variance
0.2375,0.5625,0.6343434343434342,0.76546875,Variance
0.25,0.5625,0.6335664335664335,0.76546875,Variance
0.25,0.6,0.6221322537112011,0.76546875,Variance
0.2625,0.6,0.6150793650793651,0.76546875,Variance
0.2625,0.625,0.5909090909090909,0.76546875,Variance
0.3,0.625,0.5615819209039549,0.76546875,Variance
0.3,0.6375,0.5596638655462185,0.76546875,Variance
0.3375,0.6375,0.5317604355716877,0.76546875,Variance
0.3375,0.65,0.513611615245009,0.76546875,Variance
0.3625,0.65,0.5051948051948052,0.76546875,Variance
0.3625,0.6625,0.5037878787878788,0.76546875,Variance
0.4,0.6625,0.4584615384615385,0.76546875,Variance
0.4,0.675,0.44858757062146887,0.76546875,Variance
0.4125,0.675,0.44399460188933876,0.76546875,Variance
0.4125,0.6875,0.4408602150537635,0.76546875,Variance
0.4625,0.6875,0.37414965986394555,0.76546875,Variance
0.4625,0.7,0.36964569011105236,0.76546875,Variance
0.475,0.7,0.36212624584717606,0.76546875,Variance
0.475,0.7125,0.3596059113300492,0.76546875,Variance
0.5375,0.7125,0.29832572298325727,0.76546875,Variance
0.5375,0.725,0.2867063492063492,0.76546875,Variance
0.55,0.725,0.2603621730382294,0.76546875,Variance
0.55,0.75,0.2430769230769231,0.76546875,Variance
0.5625,0.75,0.24057971014492752,0.76546875,Variance
0.5625,0.8375,0.20009350163627862,0.76546875,Variance
0.575,0.8375,0.19666374012291482,0.76546875,Variance
0.575,0.8625,0.1797752808988764,0.76546875,Variance
0.5875,0.8625,0.17322478516508372,0.76546875,Variance
0.5875,0.9375,0.1307669703203056,0.76546875,Variance
0.6,0.9375,0.12980769230769232,0.76546875,Variance
0.6,0.95,0.11604938271604939,0.76546875,Variance
0.6625,0.95,0.10227936879018117,0.76546875,Variance
0.6625,0.9625,0.10172143974960876,0.76546875,Variance
0.675,0.9625,0.10163934426229508,0.76546875,Variance
0.675,0.975,0.09756909756909757,0.76546875,Variance
0.6875,0.975,0.09494949494949496,0.76546875,Variance
0.6875,1.0,0.08552388004442799,0.76546875,Variance
1.0,1.0,-0.6491228070175439,0.76546875,Variance
0.0,0.0,inf,0.5165625,Lag-1 AC
0.025,0.0,0.911111111111111,0.5165625,Lag-1 AC
0.125,0.0,0.8484848484848484,0.5165625,Lag-1 AC
0.125,0.05,0.7489177489177489,0.5165625,Lag-1 AC
0.15,0.05,0.7435897435897434,0.5165625,Lag-1 AC
0.15,0.075,0.6959064327485379,0.5165625,Lag-1 AC
0.175,0.075,0.6666666666666669,0.5165625,Lag-1 AC
0.175,0.2,0.564102564102564,0.5165625,Lag-1 AC
0.2,0.225,0.561904761904762,0.5165625,Lag-1 AC
0.2,0.25,0.5454545454545454,0.5165625,Lag-1 AC
0.225,0.25,0.5166666666666667,0.5165625,Lag-1 AC
0.225,0.45,0.37777777777777777,0.5165625,Lag-1 AC
0.275,0.45,0.36585365853658536,0.5165625,Lag-1 AC
0.275,0.475,0.35,0.5165625,Lag-1 AC
0.3,0.475,0.3468286099865047,0.5165625,Lag-1 AC
0.3,0.5,0.3333333333333334,0.5165625,Lag-1 AC
0.45,0.5,0.24731182795698925,0.5165625,Lag-1 AC
0.45,0.525,0.2222222222222222,0.5165625,Lag-1 AC
0.5,0.525,0.21637426900584794,0.5165625,Lag-1 AC
0.5,0.6,0.2,0.5165625,Lag-1 AC
0.575,0.6,0.08225108225108224,0.5165625,Lag-1 AC
0.575,0.625,0.04761904761904762,0.5165625,Lag-1 AC
0.65,0.625,0.014492753623188406,0.5165625,Lag-1 AC
0.65,0.65,0.010526315789473684,0.5165625,Lag-1 AC
0.75,0.65,-0.031746031746031744,0.5165625,Lag-1 AC
0.75,0.7,-0.09956709956709957,0.5165625,Lag-1 AC
0.775,0.7,-0.1515151515151515,0.5165625,Lag-1 AC
0.775,0.75,-0.29846153846153844,0.5165625,Lag-1 AC
0.85,0.75,-0.35789473684210527,0.5165625,Lag-1 AC
0.85,0.775,-0.3743842364532019,0.5165625,Lag-1 AC
0.875,0.775,-0.4379084967320262,0.5165625,Lag-1 AC
0.875,0.85,-0.5663865546218487,0.5165625,Lag-1 AC
0.9,0.85,-0.5666666666666667,0.5165625,Lag-1 AC
0.9,0.95,-0.6275303643724697,0.5165625,Lag-1 AC
1.0,0.95,-0.8181818181818181,0.5165625,Lag-1 AC
1.0,1.0,-1.0,0.5165625,Lag-1 AC
