fpr,tpr,thresholds,auc,ews
0.0,0.0,inf,0.963,SDML
0.0,0.00125,0.99998605,0.963,SDML
0.0,0.01,0.9999851,0.963,SDML
0.0,0.01375,0.999985,0.963,SDML
0.0,0.01875,0.9999839,0.963,SDML
0.0,0.02125,0.9999838,0.963,SDML
0.0,0.07,0.99992955,0.963,SDML
0.0,0.0725,0.9999286,0.963,SDML
0.0,0.0925,0.9999194,0.963,SDML
0.0,0.095,0.9999193,0.963,SDML
0.0,0.11125,0.999912,0.963,SDML
0.0,0.11375,0.99991083,0.963,SDML
0.0,0.15,0.9998816,0.963,SDML
0.0,0.1525,0.9998814,0.963,SDML
0.0,0.19375,0.99985087,0.963,SDML
0.0,0.19625,0.99985003,0.963,SDML
0.0,0.2125,0.99983275,0.963,SDML
0.0,0.215,0.99983096,0.963,SDML
0.0,0.3125,0.99904186,0.963,SDML
0.0,0.3175,0.999037,0.963,SDML
0.0,0.395,0.99880207,0.963,SDML
0.0,0.3975,0.9987974,0.963,SDML
0.0,0.42375,0.99867576,0.963,SDML
0.0,0.42625,0.9986671,0.963,SDML
0.0,0.46375,0.9985715,0.963,SDML
0.0,0.46625,0.9985709,0.963,SDML
0.0,0.50875,0.9983005,0.963,SDML
0.0,0.51125,0.9982753,0.963,SDML
0.0,0.82625,0.9567572,0.963,SDML
0.00125,0.82625,0.9526223,0.963,SDML
0.00125,0.8275,0.94972605,0.963,SDML
0.0025,0.8275,0.948762,0.963,SDML
0.0025,0.835,0.9439601,0.963,SDML
0.00625,0.835,0.94268066,0.963,SDML
0.00625,0.83875,0.9402591,0.963,SDML
0.0075,0.83875,0.9398591,0.963,SDML
0.0075,0.845,0.9341353,0.963,SDML
0.00875,0.845,0.9319144,0.963,SDML
0.00875,0.85625,0.922978,0.963,SDML
0.01,0.85625,0.9228338,0.963,SDML
0.01,0.865,0.914021,0.963,SDML
0.01125,0.865,0.9139515,0.963,SDML
0.01125,0.87375,0.89933467,0.963,SDML
0.0125,0.87375,0.89927673,0.963,SDML
0.0125,0.8775,0.8815964,0.963,SDML
0.015,0.8775,0.8708086,0.963,SDML
0.015,0.88125,0.85207236,0.963,SDML
0.01875,0.88125,0.8358815,0.963,SDML
0.01875,0.885,0.8248723,0.963,SDML
0.02,0.885,0.8063764,0.963,SDML
0.02,0.8875,0.7916257,0.963,SDML
0.02125,0.8875,0.7900525,0.963,SDML
0.02125,0.88875,0.7830666,0.963,SDML
0.02375,0.88875,0.77235067,0.963,SDML
0.02375,0.89,0.7684347,0.963,SDML
0.02625,0.89,0.7481873,0.963,SDML
0.02625,0.8925,0.7312544,0.963,SDML
0.0275,0.8925,0.72363937,0.963,SDML
0.0275,0.89375,0.7121554,0.963,SDML
0.03,0.89375,0.70791996,0.963,SDML
0.03,0.895,0.69992244,0.963,SDML
0.03125,0.895,0.68616205,0.963,SDML
0.03125,0.89625,0.6658804,0.963,SDML
0.0325,0.89625,0.6528611,0.963,SDML
0.0325,0.8975,0.6525069,0.963,SDML
0.035,0.8975,0.6269408,0.963,SDML
0.035,0.89875,0.62368023,0.963,SDML
0.0475,0.89875,0.31219858,0.963,SDML
0.0475,0.9,0.27607155,0.963,SDML
0.04875,0.9,0.24943788,0.963,SDML
0.04875,0.90125,0.23130898,0.963,SDML
0.05,0.90125,0.20395331,0.963,SDML
0.05,0.9025,0.18874954,0.963,SDML
0.0525,0.9025,0.16585611,0.963,SDML
0.0525,0.90375,0.15131862,0.963,SDML
0.05375,0.90375,0.14829934,0.963,SDML
0.05375,0.905,0.14482322,0.963,SDML
0.0575,0.905,0.13267252,0.963,SDML
