fpr,tpr,thresholds,auc,ews
0.0,0.0,inf,0.9242187500000001,Variance
0.0,0.0125,0.9839866555462884,0.9242187500000001,Variance
0.0,0.75,0.9544807965860598,0.9242187500000001,Variance
0.2,0.75,0.7959183673469388,0.9242187500000001,Variance
0.2,0.775,0.7308641975308642,0.9242187500000001,Variance
0.2125,0.775,0.7301960784313727,0.9242187500000001,Variance
0.2125,0.8625,0.7002070393374741,0.9242187500000001,Variance
0.2875,0.8625,0.6824242424242426,0.9242187500000001,Variance
0.2875,0.875,0.6821773485513607,0.9242187500000001,Variance
0.3125,0.875,0.6636500754147813,0.9242187500000001,Variance
0.3125,0.8875,0.6624708624708625,0.9242187500000001,Variance
0.325,0.8875,0.6537513997760358,0.9242187500000001,Variance
0.325,0.9,0.651923076923077,0.9242187500000001,Variance
0.3375,0.9,0.6386161757830761,0.9242187500000001,Variance
0.3375,0.9125,0.6292882744495647,0.9242187500000001,Variance
0.35,0.9125,0.6224664224664224,0.9242187500000001,Variance
0.35,0.925,0.6065573770491803,0.9242187500000001,Variance
0.375,0.925,0.6008708272859217,0.9242187500000001,Variance
0.375,0.9375,0.5932203389830508,0.9242187500000001,Variance
0.3875,0.9375,0.5872761293771718,0.9242187500000001,Variance
0.3875,0.95,0.5644283121597096,0.9242187500000001,Variance
0.4125,0.95,0.5501355013550137,0.9242187500000001,Variance
0.4125,0.9625,0.5488721804511278,0.9242187500000001,Variance
0.45,0.9625,0.5171495171495172,0.9242187500000001,Variance
0.45,0.975,0.5151515151515152,0.9242187500000001,Variance
0.4625,0.975,0.4954385964912281,0.9242187500000001,Variance
0.4625,0.9875,0.4775036284470247,0.9242187500000001,Variance
0.475,0.9875,0.46982599037393563,0.9242187500000001,Variance
0.475,1.0,0.45701357466063347,0.9242187500000001,Variance
1.0,1.0,-0.7404396266184884,0.9242187500000001,Variance
0.0,0.0,inf,0.99390625,Lag-1 AC
0.0,0.0125,0.8298270219728845,0.99390625,Lag-1 AC
0.0,0.85,0.08478513356562137,0.99390625,Lag-1 AC
0.0125,0.85,0.08021390374331552,0.99390625,Lag-1 AC
0.0125,0.875,0.027484143763213526,0.99390625,Lag-1 AC
0.025,0.875,0.018487394957983194,0.99390625,Lag-1 AC
0.025,0.9125,-0.034227567067530065,0.99390625,Lag-1 AC
0.0375,0.9125,-0.0380952380952381,0.99390625,Lag-1 AC
0.0375,0.925,-0.04787234042553192,0.99390625,Lag-1 AC
0.05,0.925,-0.052631578947368425,0.99390625,Lag-1 AC
0.05,0.95,-0.07102040816326531,0.99390625,Lag-1 AC
0.0625,0.95,-0.0796221322537112,0.99390625,Lag-1 AC
0.0625,1.0,-0.09993011879804332,0.99390625,Lag-1 AC
1.0,1.0,-0.8542372881355931,0.99390625,Lag-1 AC
