Age,Proxy,Climate_proxy,Record,Transition_start,Transition_end,Period,tsid
108025.0,-477.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107924.79540709812,-476.65393746662136,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107824.59081419624,-476.04529288959844,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107724.38622129436,-474.69123173277666,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107624.18162839249,-474.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107523.9770354906,-474.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107423.77244258873,-473.8003207902644,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107323.56784968685,-469.6054517586745,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107223.36325678497,-465.52044006153176,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107123.15866388309,-461.5857551405612,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107022.95407098121,-461.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106922.74947807933,-462.9392032951531,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106822.54488517746,-465.39951104274263,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106722.34029227558,-463.5388703944028,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106622.1356993737,-461.3809817907679,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106521.93110647182,-459.5359661331477,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106421.72651356994,-461.3452157272094,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106321.52192066806,-460.5490373463235,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106221.31732776618,-457.5918489606974,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106121.1127348643,-451.63770676088035,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106020.90814196243,-455.3952290310694,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
