/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Van der Bolt, Bregje; Van Nes, Egbert H; de Lange, Gert J; Scheffer, Marten; Reichart, Gert-Jan (2020): ICP-MS data for elements Al, Ba, Mo, Ti, and U in Mediterranean core MS21PC. PANGAEA, https://doi.org/10.1594/PANGAEA.923194, 
	In: Hennekam, R et al. (2020): Calibrated XRF-scanning data (mm resolution) and calibration data (ICP-OES and ICP-MS) for elements Al, Ba, Mo, Ti, and U in Mediterranean cores MS21, MS66, and 64PE406E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923197
Keyword(s):	Geochemistry; Mediterranean Sea; sapropels; trace elements; XRF-scanning
Project(s):	Geochemical scanning of climate change analogues to assess future hypoxia in restricted basins (SCANALOGUE) (URI: https://www.nioz.nl/en/research/projects/4267-0)
Coverage:	LATITUDE: 32.344970 * LONGITUDE: 31.650080
	DATE/TIME START: 2004-06-29T07:59:57 * DATE/TIME END: 2004-06-29T07:59:57
	MINIMUM DEPTH, sediment/rock: 0.103 m * MAXIMUM DEPTH, sediment/rock: 6.933 m
Event(s):	MS21PC (MIMES_43) * LATITUDE: 32.344970 * LONGITUDE: 31.650080 * DATE/TIME: 2004-06-29T07:59:57 * ELEVATION: -1022.0 m * LOCATION: Osiris & Amon Mud Volcano * CAMPAIGN: MIMES * BASIS: Pelagia (URI: https://www.researchvessels.org/ship_info_display.asp?shipID=100) * METHOD/DEVICE: Piston corer (PC) * COMMENT: MS21PC Bottom
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl)
	Aluminium [mg/kg] (Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
	Barium [mg/kg] (Ba) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
	Molybdenum [mg/kg] (Mo) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
	Titanium [mg/kg] (Ti) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
	Uranium [mg/kg] (U) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: Inductively coupled plasma - mass spectrometry (ICP-MS)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	540 data points
*/
Age [ka BP]	Depth sed [m]	Al [mg/kg]	Ba [mg/kg]	Mo [mg/kg]	Ti [mg/kg]	U [mg/kg]
2.166	0.103	40646.970	106.820	1.426	3058.510	1.411
3.220	0.163	47780.240	120.830	4.395	3669.400	1.499
3.758	0.203	54753.200	143.530	5.954	4081.440	1.436
4.028	0.223	59816.220	160.510	4.404	4475.190	1.535
4.294	0.243	63536.600	167.460	4.490	4853.950	1.565
4.647	0.263	64067.840	152.080	1.051	4939.450	1.597
5.447	0.303	67225.020	194.130	1.207	5119.210	1.828
5.589	0.313	72454.690	249.390	1.159	5373.570	2.104
5.874	0.333	73558.860	291.360	1.376	5376.500	4.157
6.160	0.353	76458.320	231.160	1.292	5853.310	6.762
6.297	0.363	74283.380	305.500	1.441	5523.560	8.678
6.434	0.373	70431.090	360.740	2.708	5077.060	10.172
6.709	0.393	71834.530	357.790	5.426	5221.630	10.439
6.994	0.423	78117.230	396.450	8.495	5653.220	12.152
7.154	0.443	71444.280	380.480	9.473	5148.900	11.569
7.302	0.463	74269.000	351.330	10.823	5392.490	11.761
7.444	0.483	81586.200	358.920	12.847	5976.800	9.905
7.587	0.503	82732.140	376.570	9.633	5946.150	8.285
7.745	0.523	75921.280	320.410	10.536	5312.050	7.393
7.863	0.538	76084.640	423.350	10.894	5324.850	7.116
7.903	0.543	75977.950	476.140	12.258	5374.960	7.564
7.942	0.548	79469.630	440.970	13.631	5623.320	7.832
8.047	0.563	81766.710	376.720	14.383	5794.100	7.718
8.186	0.583	82489.390	389.380	19.377	5812.940	8.935
8.374	0.613	82775.950	320.030	19.824	5991.960	8.567
8.428	0.623	82110.890	378.110	15.699	5801.530	7.144
8.506	0.638	75988.720	396.350	16.088	5464.810	6.844
8.559	0.648	83822.490	345.250	16.768	6054.130	7.432
8.638	0.663	82316.130	368.010	18.673	5912.170	7.785
8.769	0.688	79659.990	401.160	17.197	5789.880	7.148
8.847	0.703	82776.900	366.925	19.168	5965.855	7.633
8.953	0.723	80183.630	412.640	18.397	5876.260	7.977
9.059	0.743	82771.390	338.570	17.782	6057.850	7.443
9.260	0.783	80259.480	284.990	15.334	5866.370	6.799
9.360	0.803	79844.990	314.620	13.454	5783.290	6.640
9.412	0.813	79447.260	354.560	14.132	5913.640	6.535
9.515	0.833	79892.700	303.170	13.019	5972.500	6.580
9.567	0.843	75963.640	282.750	15.147	5716.440	5.995
9.621	0.853	79124.720	286.540	22.006	5981.720	5.243
9.677	0.863	80214.490	265.130	15.292	6056.815	4.622
9.793	0.883	86380.660	269.240	10.048	6434.870	4.117
9.907	0.903	92421.960	276.040	2.443	6938.870	4.209
10.026	0.923	81106.760	214.180	1.619	6225.010	3.619
10.144	0.943	85945.690	222.780	1.420	6655.390	3.069
10.388	0.983	84824.200	215.780	1.248	6718.030	2.469
10.510	1.003	77864.170	190.350	1.045	6272.210	2.378
10.629	1.023	76880.430	194.080	0.942	6201.020	2.168
10.868	1.063	76651.010	196.800	1.154	6285.360	2.461
11.106	1.103	76798.330	196.970	1.122	6369.010	2.240
11.416	1.153	75568.310	200.180	0.856	6783.200	2.054
11.715	1.203	76741.290	217.410	0.865	7003.390	1.844
