/* DATA DESCRIPTION:
Citation:	Hennekam, Rick; Van der Bolt, Bregje; Van Nes, Egbert H; de Lange, Gert J; Scheffer, Marten; Reichart, Gert-Jan (2020): ICP-OES/ICP-MS data for elements Al, Ba, Mo, Ti, and U in Mediterranean core MS66PC. PANGAEA, https://doi.org/10.1594/PANGAEA.923195, 
	In: Hennekam, R et al. (2020): Calibrated XRF-scanning data (mm resolution) and calibration data (ICP-OES and ICP-MS) for elements Al, Ba, Mo, Ti, and U in Mediterranean cores MS21, MS66, and 64PE406E1. PANGAEA, https://doi.org/10.1594/PANGAEA.923197
Keyword(s):	Geochemistry; Mediterranean Sea; sapropels; trace elements; XRF-scanning
Project(s):	Geochemical scanning of climate change analogues to assess future hypoxia in restricted basins (SCANALOGUE) (URI: https://www.nioz.nl/en/research/projects/4267-0)
Coverage:	LATITUDE: 33.031670 * LONGITUDE: 31.798730
	DATE/TIME START: 2004-07-11T12:12:52 * DATE/TIME END: 2004-07-11T12:12:52
	MINIMUM DEPTH, sediment/rock: 0.005 m * MAXIMUM DEPTH, sediment/rock: 6.300 m
Event(s):	MS66PC (MIMES_96) * LATITUDE: 33.031670 * LONGITUDE: 31.798730 * DATE/TIME: 2004-07-11T12:12:52 * ELEVATION: -1630.0 m * LOCATION: Nile Fan * CAMPAIGN: MIMES * BASIS: Pelagia (URI: https://www.researchvessels.org/ship_info_display.asp?shipID=100) * METHOD/DEVICE: Piston corer (PC) * COMMENT: MS66PC Bottom
Parameter(s):	Method comment (Method comm) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl)
	AGE [ka BP] (Age) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl)
	Aluminium [mg/kg] (Al) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: ICP-OES/ICP-MS
	Barium [mg/kg] (Ba) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: ICP-OES/ICP-MS
	Molybdenum [mg/kg] (Mo) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: ICP-OES/ICP-MS
	Titanium [mg/kg] (Ti) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: ICP-OES/ICP-MS
	Uranium [mg/kg] (U) * PI: Hennekam, Rick (https://orcid.org/0000-0002-8823-4519, rick.hennekam@nioz.nl) * METHOD/DEVICE: ICP-OES/ICP-MS
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1480 data points
*/
Method comm	Age [ka BP]	Depth sed [m]	Al [mg/kg]	Ba [mg/kg]	Mo [mg/kg]	Ti [mg/kg]	U [mg/kg]
ICP-OES	0.130	0.005	41885.743	127.550	4.504	3492.372	
ICP-OES	2.726	0.105	27536.197	92.051	3.485	2053.621	
ICP-OES	2.985	0.115	32486.947	103.510	3.197	2446.472	
ICP-OES	3.245	0.125	33007.320	103.731	3.990	2484.765	
ICP-OES	3.504	0.135	37522.532	117.276	4.472	2839.225	
ICP-OES	3.764	0.145	35821.053	109.247	7.763	2689.343	
ICP-OES	4.023	0.155	37541.287	112.099	4.671	2853.686	
ICP-OES	4.283	0.165	38768.391	114.306	5.364	2990.834	
ICP-OES	4.543	0.175	39202.383	115.252	6.144	3036.779	
ICP-OES	4.802	0.185	38869.514	116.288	9.615	2987.200	
ICP-OES	5.062	0.195	41184.938	141.971	16.306	3177.287	
ICP-OES	5.321	0.205	39391.351	201.225	4.614	2903.418	
ICP-OES	5.581	0.215	43073.760	138.777	9.857	3346.120	
ICP-OES	5.840	0.225	47987.021	232.905	12.240	3658.210	
ICP-OES	6.100	0.235	49919.584	267.581	10.952	3793.340	
ICP-OES	6.191	0.245	48901.648	295.036	9.806	3760.649	
ICP-OES	6.281	0.255	53384.162	421.335	8.542	4060.019	
ICP-OES	6.372	0.265	50766.696	490.456	8.868	3804.199	
ICP-OES	6.463	0.275	50772.126	636.804	14.212	3793.447	
ICP-OES	6.554	0.285	50821.983	645.317	13.102	3792.459	
ICP-OES	6.644	0.295	52377.477	718.542	15.424	3913.936	
ICP-OES	6.735	0.305	54756.373	777.389	12.820	4050.397	
ICP-OES	6.826	0.315	55162.080	843.154	21.027	4047.965	
ICP-OES	6.916	0.325	53450.804	831.565	13.917	3938.625	
ICP-OES	7.007	0.335	51630.154	794.587	11.643	3819.327	
ICP-OES	7.098	0.345	55115.000	775.726	19.342	4112.169	
ICP-OES	7.189	0.355	56894.754	762.685	20.032	4215.168	
ICP-OES	7.279	0.365	58043.221	739.012	22.650	4361.797	
ICP-OES	7.370	0.375	63953.498	642.350	26.675	4456.343	
ICP-OES	7.461	0.385	59470.522	682.995	20.597	4356.623	
ICP-OES	7.552	0.395	57479.957	565.142	17.102	4243.889	
ICP-OES	7.642	0.405	61516.422	662.569	25.523	4472.800	
ICP-OES	7.733	0.415	61038.661	581.606	25.733	4408.277	
ICP-OES	7.824	0.425	59854.478	576.803	24.056	4378.054	
ICP-OES	7.914	0.435	63049.456	551.005	23.844	4634.649	
ICP-OES	8.005	0.445	59765.890	486.646	25.722	4427.506	
ICP-OES	8.096	0.455	61330.203	512.786	22.993	4483.462	
ICP-OES	8.187	0.465	60830.018	486.287	21.454	4507.146	
ICP-OES	8.277	0.475	61052.927	494.633	23.721	4435.607	
ICP-OES	8.368	0.485	58626.232	525.010	21.274	4303.026	
ICP-OES	8.459	0.495	58839.020	552.994	23.296	4358.644	
ICP-OES	8.549	0.505	58594.370	510.339	21.428	4361.632	
ICP-OES	8.640	0.515	59393.659	557.944	20.739	4370.314	
ICP-OES	8.731	0.525	59169.073	592.636	20.824	4427.419	
ICP-OES	8.822	0.535	59927.934	518.048	20.814	4479.520	
