Beat number,state,tsid,type
0,1.0985000133514404,1,pd
1,1.0769000053405762,1,pd
2,1.0952999591827393,1,pd
3,1.0094000101089478,1,pd
4,1.1133999824523926,1,pd
5,1.0687999725341797,1,pd
6,1.094599962234497,1,pd
7,1.0915000438690186,1,pd
8,1.0681999921798706,1,pd
9,1.0784000158309937,1,pd
10,1.0817999839782717,1,pd
11,1.1050000190734863,1,pd
12,1.044800043106079,1,pd
13,1.129699945449829,1,pd
14,1.0233999490737915,1,pd
15,1.0987000465393066,1,pd
16,1.0950000286102295,1,pd
17,1.1045000553131104,1,pd
18,1.035899996757507,1,pd
19,1.1051000356674194,1,pd
20,1.158900022506714,1,pd
21,1.0699000358581543,1,pd
22,1.0702999830245972,1,pd
23,1.1232999563217163,1,pd
24,1.0292999744415283,1,pd
25,1.1612999439239502,1,pd
26,1.080399990081787,1,pd
27,1.0592000484466553,1,pd
28,1.0844999551773071,1,pd
29,1.0954999923706057,1,pd
30,1.1332000494003296,1,pd
31,1.125300049781799,1,pd
32,1.0580999851226809,1,pd
33,1.1371999979019165,1,pd
34,1.0814000368118286,1,pd
35,1.1241999864578247,1,pd
36,1.062199950218201,1,pd
37,1.1186000108718872,1,pd
38,1.097000002861023,1,pd
39,1.1756000518798828,1,pd
40,1.089100003242493,1,pd
41,1.163599967956543,1,pd
42,1.02020001411438,1,pd
43,1.2379000186920166,1,pd
44,1.0461000204086304,1,pd
45,1.1365000009536743,1,pd
46,1.077399969100952,1,pd
47,1.1210999488830566,1,pd
48,1.0777000188827517,1,pd
49,1.0872000455856323,1,pd
50,1.0992000102996826,1,pd
51,1.0982999801635742,1,pd
52,1.1267000436782837,1,pd
53,1.1054999828338623,1,pd
54,1.0609999895095823,1,pd
55,1.0966999530792236,1,pd
56,1.1375000476837158,1,pd
57,1.072100043296814,1,pd
58,1.1395000219345093,1,pd
59,1.0648000240325928,1,pd
60,1.1252000331878662,1,pd
61,1.1247999668121338,1,pd
62,1.096400022506714,1,pd
63,1.155900001525879,1,pd
64,1.1295000314712524,1,pd
65,1.1432000398635864,1,pd
66,1.08650004863739,1,pd
67,1.1282000541687012,1,pd
68,1.0877000093460083,1,pd
69,1.092900037765503,1,pd
70,1.1585999727249146,1,pd
71,1.086400032043457,1,pd
72,1.1110999584197998,1,pd
73,1.1191999912261963,1,pd
74,1.1411999464035034,1,pd
75,1.0146000385284424,1,pd
76,1.0719000101089478,1,pd
77,1.07260000705719,1,pd
78,1.09660005569458,1,pd
79,1.0751999616622925,1,pd
80,1.0539000034332275,1,pd
81,1.055400013923645,1,pd
82,1.073199987411499,1,pd
83,1.1678999662399292,1,pd
84,1.044700026512146,1,pd
85,1.3215999603271484,1,pd
86,1.0748000144958496,1,pd
87,1.2122000455856323,1,pd
88,1.080899953842163,1,pd
89,1.1993999481201172,1,pd
90,1.0989999771118164,1,pd
91,1.164800047874451,1,pd
92,1.12909996509552,1,pd
93,1.1413999795913696,1,pd
94,1.2484999895095823,1,pd
95,1.1663999557495115,1,pd
96,1.1677000522613523,1,pd
97,1.124400019645691,1,pd
98,1.030500054359436,1,pd
99,1.197700023651123,1,pd
100,1.0547000169754028,1,pd
101,1.1469999551773071,1,pd
102,1.069100022315979,1,pd
103,1.0994999408721924,1,pd
104,1.0865999460220337,1,pd
105,1.1013000011444092,1,pd
106,1.2167999744415283,1,pd
107,1.2348999977111816,1,pd
108,1.1301000118255615,1,pd
109,1.1344000101089478,1,pd
110,1.2563999891281128,1,pd
111,1.1064000129699707,1,pd
112,1.2721999883651731,1,pd
113,1.0951999425888062,1,pd
114,1.2371000051498413,1,pd
115,1.004699945449829,1,pd
116,1.1943999528884888,1,pd
117,1.0698000192642212,1,pd
118,1.135200023651123,1,pd
119,1.180899977684021,1,pd
120,1.1480000019073486,1,pd
121,1.11489999294281,1,pd
122,1.1384999752044678,1,pd
123,1.0814000368118286,1,pd
124,1.1060999631881714,1,pd
125,1.0938999652862549,1,pd
126,1.1318999528884888,1,pd
127,1.1619999408721924,1,pd
128,1.139799952507019,1,pd
129,1.1546000242233276,1,pd
130,1.0810999870300293,1,pd
131,1.3920999765396118,1,pd
132,0.9552199840545654,1,pd
133,1.219099998474121,1,pd
134,1.026900053024292,1,pd
135,1.101099967956543,1,pd
136,1.1152000427246094,1,pd
137,1.0371999740600586,1,pd
138,1.0335999727249146,1,pd
139,1.107699990272522,1,pd
140,1.0472999811172483,1,pd
