Age,Proxy,Climate_proxy,Record,Transition_start,Transition_end,Period,tsid
108025,-477.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107938,-476.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107852,-476.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107767,-475.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107683,-474.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107599,-474.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107515,-474.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107431,-474.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107349,-470.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107270,-467.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107194,-464.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107121,-461.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
107048,-461.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106976,-461.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106902,-463.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106828,-465.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106752,-464.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106678,-462.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106606,-461.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106535,-459.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106463,-460.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106391,-461.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106319,-460.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106248,-459.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106179,-455.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106114,-451.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
106048,-454.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105980,-457.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105911,-457.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105842,-458.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105772,-458.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105702,-458.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105631,-460.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105559,-463.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105485,-462.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105413,-460.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105342,-460.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105271,-459.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105200,-460.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105128,-461.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
105055,-463.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104982,-464.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104908,-462.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104837,-460.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104766,-460.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104695,-460.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104623,-461.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104552,-461.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104480,-461.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104409,-461.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104337,-461.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104266,-460.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104195,-459.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104125,-459.9,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
104054,-460.2,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103984,-460.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103912,-461.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103841,-462.0,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103769,-462.3,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103697,-461.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103625,-461.8,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103553,-462.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103481,-462.5,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103410,-459.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103341,-456.7,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103273,-457.4,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103205,-458.1,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
103137,-454.6,d2H (%),End_of_glaciation_I,17000,13828.0,I,1
