Age,tree_felling,Record,Transition_start,Transition_end,Period,tsid
500,2,construction_activity_BMIII,684,705,BMIII,0
501,3,construction_activity_BMIII,684,705,BMIII,0
502,6,construction_activity_BMIII,684,705,BMIII,0
503,5,construction_activity_BMIII,684,705,BMIII,0
504,5,construction_activity_BMIII,684,705,BMIII,0
505,5,construction_activity_BMIII,684,705,BMIII,0
506,6,construction_activity_BMIII,684,705,BMIII,0
507,2,construction_activity_BMIII,684,705,BMIII,0
508,3,construction_activity_BMIII,684,705,BMIII,0
509,3,construction_activity_BMIII,684,705,BMIII,0
510,5,construction_activity_BMIII,684,705,BMIII,0
511,3,construction_activity_BMIII,684,705,BMIII,0
512,2,construction_activity_BMIII,684,705,BMIII,0
513,3,construction_activity_BMIII,684,705,BMIII,0
514,4,construction_activity_BMIII,684,705,BMIII,0
515,4,construction_activity_BMIII,684,705,BMIII,0
516,1,construction_activity_BMIII,684,705,BMIII,0
517,4,construction_activity_BMIII,684,705,BMIII,0
518,4,construction_activity_BMIII,684,705,BMIII,0
519,5,construction_activity_BMIII,684,705,BMIII,0
520,4,construction_activity_BMIII,684,705,BMIII,0
521,8,construction_activity_BMIII,684,705,BMIII,0
522,4,construction_activity_BMIII,684,705,BMIII,0
523,3,construction_activity_BMIII,684,705,BMIII,0
524,3,construction_activity_BMIII,684,705,BMIII,0
525,7,construction_activity_BMIII,684,705,BMIII,0
526,2,construction_activity_BMIII,684,705,BMIII,0
527,6,construction_activity_BMIII,684,705,BMIII,0
528,5,construction_activity_BMIII,684,705,BMIII,0
529,3,construction_activity_BMIII,684,705,BMIII,0
530,6,construction_activity_BMIII,684,705,BMIII,0
531,8,construction_activity_BMIII,684,705,BMIII,0
532,11,construction_activity_BMIII,684,705,BMIII,0
533,2,construction_activity_BMIII,684,705,BMIII,0
534,8,construction_activity_BMIII,684,705,BMIII,0
535,3,construction_activity_BMIII,684,705,BMIII,0
536,10,construction_activity_BMIII,684,705,BMIII,0
537,18,construction_activity_BMIII,684,705,BMIII,0
538,4,construction_activity_BMIII,684,705,BMIII,0
539,7,construction_activity_BMIII,684,705,BMIII,0
541,9,construction_activity_BMIII,684,705,BMIII,0
542,7,construction_activity_BMIII,684,705,BMIII,0
543,10,construction_activity_BMIII,684,705,BMIII,0
544,8,construction_activity_BMIII,684,705,BMIII,0
545,2,construction_activity_BMIII,684,705,BMIII,0
546,9,construction_activity_BMIII,684,705,BMIII,0
547,11,construction_activity_BMIII,684,705,BMIII,0
548,7,construction_activity_BMIII,684,705,BMIII,0
549,9,construction_activity_BMIII,684,705,BMIII,0
550,8,construction_activity_BMIII,684,705,BMIII,0
551,11,construction_activity_BMIII,684,705,BMIII,0
552,10,construction_activity_BMIII,684,705,BMIII,0
553,4,construction_activity_BMIII,684,705,BMIII,0
554,4,construction_activity_BMIII,684,705,BMIII,0
555,10,construction_activity_BMIII,684,705,BMIII,0
556,11,construction_activity_BMIII,684,705,BMIII,0
557,7,construction_activity_BMIII,684,705,BMIII,0
558,5,construction_activity_BMIII,684,705,BMIII,0
559,10,construction_activity_BMIII,684,705,BMIII,0
560,9,construction_activity_BMIII,684,705,BMIII,0
561,6,construction_activity_BMIII,684,705,BMIII,0
562,16,construction_activity_BMIII,684,705,BMIII,0
563,6,construction_activity_BMIII,684,705,BMIII,0
564,12,construction_activity_BMIII,684,705,BMIII,0
565,7,construction_activity_BMIII,684,705,BMIII,0
566,13,construction_activity_BMIII,684,705,BMIII,0
567,15,construction_activity_BMIII,684,705,BMIII,0
568,6,construction_activity_BMIII,684,705,BMIII,0
569,3,construction_activity_BMIII,684,705,BMIII,0
570,17,construction_activity_BMIII,684,705,BMIII,0
571,18,construction_activity_BMIII,684,705,BMIII,0
572,9,construction_activity_BMIII,684,705,BMIII,0
573,11,construction_activity_BMIII,684,705,BMIII,0
574,21,construction_activity_BMIII,684,705,BMIII,0
575,16,construction_activity_BMIII,684,705,BMIII,0
576,8,construction_activity_BMIII,684,705,BMIII,0
577,12,construction_activity_BMIII,684,705,BMIII,0
578,2,construction_activity_BMIII,684,705,BMIII,0
579,10,construction_activity_BMIII,684,705,BMIII,0
580,8,construction_activity_BMIII,684,705,BMIII,0
581,19,construction_activity_BMIII,684,705,BMIII,0
582,20,construction_activity_BMIII,684,705,BMIII,0
583,10,construction_activity_BMIII,684,705,BMIII,0
584,14,construction_activity_BMIII,684,705,BMIII,0
585,16,construction_activity_BMIII,684,705,BMIII,0
586,11,construction_activity_BMIII,684,705,BMIII,0
587,22,construction_activity_BMIII,684,705,BMIII,0
588,3,construction_activity_BMIII,684,705,BMIII,0
589,10,construction_activity_BMIII,684,705,BMIII,0
590,10,construction_activity_BMIII,684,705,BMIII,0
591,5,construction_activity_BMIII,684,705,BMIII,0
592,14,construction_activity_BMIII,684,705,BMIII,0
593,16,construction_activity_BMIII,684,705,BMIII,0
594,17,construction_activity_BMIII,684,705,BMIII,0
595,25,construction_activity_BMIII,684,705,BMIII,0
596,12,construction_activity_BMIII,684,705,BMIII,0
597,17,construction_activity_BMIII,684,705,BMIII,0
598,23,construction_activity_BMIII,684,705,BMIII,0
599,8,construction_activity_BMIII,684,705,BMIII,0
600,18,construction_activity_BMIII,684,705,BMIII,0
601,8,construction_activity_BMIII,684,705,BMIII,0
602,11,construction_activity_BMIII,684,705,BMIII,0
603,10,construction_activity_BMIII,684,705,BMIII,0
604,11,construction_activity_BMIII,684,705,BMIII,0
605,17,construction_activity_BMIII,684,705,BMIII,0
606,19,construction_activity_BMIII,684,705,BMIII,0
607,19,construction_activity_BMIII,684,705,BMIII,0
608,26,construction_activity_BMIII,684,705,BMIII,0
609,15,construction_activity_BMIII,684,705,BMIII,0
610,41,construction_activity_BMIII,684,705,BMIII,0
611,10,construction_activity_BMIII,684,705,BMIII,0
612,21,construction_activity_BMIII,684,705,BMIII,0
613,19,construction_activity_BMIII,684,705,BMIII,0
614,14,construction_activity_BMIII,684,705,BMIII,0
615,22,construction_activity_BMIII,684,705,BMIII,0
616,15,construction_activity_BMIII,684,705,BMIII,0
617,31,construction_activity_BMIII,684,705,BMIII,0
618,31,construction_activity_BMIII,684,705,BMIII,0
619,41,construction_activity_BMIII,684,705,BMIII,0
620,15,construction_activity_BMIII,684,705,BMIII,0
621,25,construction_activity_BMIII,684,705,BMIII,0
622,33,construction_activity_BMIII,684,705,BMIII,0
623,42,construction_activity_BMIII,684,705,BMIII,0
624,28,construction_activity_BMIII,684,705,BMIII,0
625,25,construction_activity_BMIII,684,705,BMIII,0
626,16,construction_activity_BMIII,684,705,BMIII,0
627,19,construction_activity_BMIII,684,705,BMIII,0
628,24,construction_activity_BMIII,684,705,BMIII,0
629,11,construction_activity_BMIII,684,705,BMIII,0
630,16,construction_activity_BMIII,684,705,BMIII,0
631,24,construction_activity_BMIII,684,705,BMIII,0
632,15,construction_activity_BMIII,684,705,BMIII,0
633,17,construction_activity_BMIII,684,705,BMIII,0
634,9,construction_activity_BMIII,684,705,BMIII,0
635,18,construction_activity_BMIII,684,705,BMIII,0
636,35,construction_activity_BMIII,684,705,BMIII,0
637,21,construction_activity_BMIII,684,705,BMIII,0
638,11,construction_activity_BMIII,684,705,BMIII,0
639,3,construction_activity_BMIII,684,705,BMIII,0
640,8,construction_activity_BMIII,684,705,BMIII,0
641,17,construction_activity_BMIII,684,705,BMIII,0
642,19,construction_activity_BMIII,684,705,BMIII,0
643,20,construction_activity_BMIII,684,705,BMIII,0
644,27,construction_activity_BMIII,684,705,BMIII,0
645,12,construction_activity_BMIII,684,705,BMIII,0
646,18,construction_activity_BMIII,684,705,BMIII,0
647,18,construction_activity_BMIII,684,705,BMIII,0
648,71,construction_activity_BMIII,684,705,BMIII,0
649,32,construction_activity_BMIII,684,705,BMIII,0
650,19,construction_activity_BMIII,684,705,BMIII,0
651,13,construction_activity_BMIII,684,705,BMIII,0
652,31,construction_activity_BMIII,684,705,BMIII,0
653,22,construction_activity_BMIII,684,705,BMIII,0
654,14,construction_activity_BMIII,684,705,BMIII,0
655,25,construction_activity_BMIII,684,705,BMIII,0
656,27,construction_activity_BMIII,684,705,BMIII,0
657,27,construction_activity_BMIII,684,705,BMIII,0
658,19,construction_activity_BMIII,684,705,BMIII,0
659,14,construction_activity_BMIII,684,705,BMIII,0
660,13,construction_activity_BMIII,684,705,BMIII,0
