Age,state,tsid,type
0,16,0,forced
1,17,0,forced
2,25,0,forced
3,12,0,forced
4,17,0,forced
5,23,0,forced
6,8,0,forced
7,18,0,forced
8,8,0,forced
9,11,0,forced
10,10,0,forced
11,11,0,forced
12,17,0,forced
13,19,0,forced
14,19,0,forced
15,26,0,forced
16,15,0,forced
17,41,0,forced
18,10,0,forced
19,21,0,forced
20,19,0,forced
21,14,0,forced
22,22,0,forced
23,15,0,forced
24,31,0,forced
25,31,0,forced
26,41,0,forced
27,15,0,forced
28,25,0,forced
29,33,0,forced
30,42,0,forced
31,28,0,forced
32,25,0,forced
33,16,0,forced
34,19,0,forced
35,24,0,forced
36,11,0,forced
37,16,0,forced
38,24,0,forced
39,15,0,forced
40,17,0,forced
41,9,0,forced
42,18,0,forced
43,35,0,forced
44,21,0,forced
45,11,0,forced
46,3,0,forced
47,8,0,forced
48,17,0,forced
49,19,0,forced
50,20,0,forced
51,27,0,forced
52,12,0,forced
53,18,0,forced
54,18,0,forced
55,71,0,forced
56,32,0,forced
57,19,0,forced
58,13,0,forced
59,31,0,forced
60,22,0,forced
61,14,0,forced
62,25,0,forced
63,27,0,forced
64,27,0,forced
65,19,0,forced
66,14,0,forced
67,13,0,forced
68,9,0,forced
69,10,0,forced
70,22,0,forced
71,17,0,forced
72,44,0,forced
73,19,0,forced
74,48,0,forced
75,24,0,forced
76,34,0,forced
77,20,0,forced
78,16,0,forced
79,25,0,forced
80,22,0,forced
81,32,0,forced
82,19,0,forced
83,41,0,forced
84,25,0,forced
85,21,0,forced
86,20,0,forced
87,25,0,forced
88,13,0,forced
89,29,0,forced
90,40,0,forced
91,41,0,forced
0,17,1,forced
1,13,1,forced
2,15,1,forced
3,19,1,forced
4,15,1,forced
5,11,1,forced
6,13,1,forced
7,8,1,forced
8,19,1,forced
9,36,1,forced
10,22,1,forced
11,26,1,forced
12,28,1,forced
13,37,1,forced
14,40,1,forced
15,33,1,forced
16,29,1,forced
17,25,1,forced
18,25,1,forced
19,9,1,forced
20,21,1,forced
21,16,1,forced
22,14,1,forced
23,34,1,forced
24,27,1,forced
25,19,1,forced
26,33,1,forced
27,17,1,forced
28,9,1,forced
29,10,1,forced
30,25,1,forced
31,24,1,forced
32,31,1,forced
33,9,1,forced
34,13,1,forced
35,16,1,forced
36,28,1,forced
37,39,1,forced
38,60,1,forced
39,36,1,forced
40,18,1,forced
41,29,1,forced
42,40,1,forced
43,37,1,forced
44,34,1,forced
45,27,1,forced
46,26,1,forced
47,15,1,forced
